source,target,relationship_type
customers,orders,FEEDS
orders,order_items,FEEDS
products,order_items,FEEDS
orders,payments,FEEDS
orders,daily_revenue,DERIVED_FROM
payments,daily_revenue,FEEDS
refunds,daily_revenue,FEEDS
daily_revenue,monthly_revenue,DERIVED_FROM
daily_revenue,revenue_dashboard,USED_BY
monthly_revenue,revenue_dashboard,USED_BY
customers,customer_360,DERIVED_FROM
orders,customer_360,FEEDS
subscriptions,customer_360,FEEDS
customer_360,customer_dashboard,USED_BY
customer_360,customer_features,DERIVED_FROM
web_events,customer_features,FEEDS
support_tickets,customer_features,FEEDS
customer_360,churn_features,DERIVED_FROM
support_tickets,churn_features,FEEDS
marketing_attribution,campaign_performance,DERIVED_FROM
campaign_performance,marketing_dashboard,USED_BY
inventory_snapshot,ops_dashboard,USED_BY
support_tickets,support_dashboard,USED_BY
